Fecha_datetime,Year,Month,Day,DOW,NO2_trop_mean,NO2_trop_std
2018-07-01,2018,7,1,6,8.717530904927595e-05,4.016159793073925e-05
2018-07-02,2018,7,2,0,0.0001026032774763,2.630741643365004e-05
2018-07-03,2018,7,3,1,6.459764922339116e-05,3.527415689992557e-05
2018-07-05,2018,7,5,3,0.0001348194256052,5.647590777719953e-05
2018-07-06,2018,7,6,4,0.0002249737100175,0.000108844084354
2018-07-07,2018,7,7,5,0.0001521674285042,6.113787360378773e-05
2018-07-08,2018,7,8,6,7.060125490998789e-05,2.5241329652237075e-05
2018-07-09,2018,7,9,0,8.594547550826277e-05,1.372134441926879e-05
2018-07-11,2018,7,11,2,-7.093287515013337e-07,5.318082010586977e-06
2018-07-12,2018,7,12,3,2.5938751764484663e-05,2.805915825530496e-05
2018-07-13,2018,7,13,4,0.0002091769609271,6.662368329622207e-05
2018-07-14,2018,7,14,5,0.0001911418125956,5.709205800252892e-05
2018-07-15,2018,7,15,6,7.398006679047278e-05,1.7048685221509477e-05
2018-07-16,2018,7,16,0,0.0001176989492657,5.9456335976700353e-05
2018-07-17,2018,7,17,1,0.0002427110569889,0.000174272488417
2018-07-18,2018,7,18,2,0.0001179346529844,4.1644418907188014e-05
2018-07-19,2018,7,19,3,0.0001177092445024,3.604379577730128e-05
2018-07-20,2018,7,20,4,0.000102763780519,2.857511724691e-05
2018-07-21,2018,7,21,5,8.593863462713902e-05,1.9983787065728165e-05
2018-07-22,2018,7,22,6,4.994011550105874e-05,1.137444783667688e-05
2018-07-23,2018,7,23,0,0.0001604104308324,5.556963645286712e-05
2018-07-24,2018,7,24,1,0.000222622525945,0.0001061455238335
2018-07-25,2018,7,25,2,0.0001047303260746,3.354750954557474e-05
2018-07-26,2018,7,26,3,0.000116359969634,4.175029425406504e-05
2018-07-27,2018,7,27,4,9.282685299185455e-05,2.938633326972109e-05
2018-07-28,2018,7,28,5,0.0001175127772665,3.906647491113483e-05
2018-07-29,2018,7,29,6,4.988535015802724e-05,1.8644934207737684e-05
2018-07-30,2018,7,30,0,0.000100488200943,4.249398846006665e-05
2018-08-05,2018,8,5,6,0.0001353341205846,2.725790418736505e-05
2018-08-08,2018,8,8,2,9.853236203191538e-05,2.8907477685341057e-05
2018-08-09,2018,8,9,3,0.0001458317343276,4.288431897857582e-05
2018-08-14,2018,8,14,1,0.0001492559004437,5.583879289752726e-05
2018-08-15,2018,8,15,2,0.0001593942233092,7.205355471829896e-05
2018-08-17,2018,8,17,4,3.3113567042164505e-05,0.0
2018-08-18,2018,8,18,5,4.796616273726127e-05,1.7006193063894417e-05
2018-08-19,2018,8,19,6,7.713620902191242e-05,2.387237761283988e-05
2018-08-20,2018,8,20,0,0.0001256006482006,3.709490214137868e-05
2018-08-21,2018,8,21,1,0.0001995370546536,6.813779654326183e-05
2018-08-22,2018,8,22,2,0.0001048561634679,3.439242584892496e-05
2018-08-23,2018,8,23,3,8.961451522334919e-05,2.7698936593466084e-05
2018-08-24,2018,8,24,4,0.0001108711641561,2.7182791034136307e-05
2018-08-29,2018,8,29,2,0.0001377820495061,5.746506668081304e-05
2018-08-30,2018,8,30,3,8.808397387865459e-05,2.9980162703941243e-05
2018-08-31,2018,8,31,4,8.319479080660368e-05,2.6246078825422026e-05
2018-09-01,2018,9,1,5,9.443161388354799e-05,2.421868598138224e-05
2018-09-02,2018,9,2,6,6.023030334539577e-05,1.0796568020966014e-05
2018-09-03,2018,9,3,0,0.0001361308182783,5.818353502569142e-05
2018-09-04,2018,9,4,1,4.8419941841312736e-05,1.9432440276644576e-05
2018-09-05,2018,9,5,2,3.30906478333579e-05,1.4823347799412597e-05
2018-09-06,2018,9,6,3,9.132540808278008e-05,1.8137982826452814e-05
2018-09-07,2018,9,7,4,4.800652733582245e-05,1.6751387596456073e-05
2018-09-08,2018,9,8,5,7.625241249985029e-05,2.634955363723104e-05
2018-09-09,2018,9,9,6,6.025868410165903e-05,2.7344139803453026e-05
2018-09-10,2018,9,10,0,8.576250763444134e-05,3.607405700230836e-05
2018-09-13,2018,9,13,3,4.676861322536992e-05,8.244673116822007e-06
2018-09-14,2018,9,14,4,0.0001178938726254,4.835678804656578e-05
2018-09-15,2018,9,15,5,9.415585645291635e-05,5.623388360836598e-05
2018-09-16,2018,9,16,6,2.959809453226224e-05,1.841628807877441e-05
2018-09-18,2018,9,18,1,8.69606483235922e-05,3.845805138602156e-05
2018-09-19,2018,9,19,2,0.0001087276343748,6.030482209875069e-05
2018-09-22,2018,9,22,5,9.25013773128246e-05,2.2537445145431425e-05
2018-09-23,2018,9,23,6,5.434493927971865e-05,1.3122044753137308e-05
2018-09-24,2018,9,24,0,0.0001125162164465,4.223908720364112e-05
2018-09-25,2018,9,25,1,5.756072827406247e-05,2.3606647705461572e-05
